portfolio_asset_id,country,sub_region_name,development_status,property_type_code,asset_size_m2,en_abs,en_int_kwh_m2
111825,41,9,1,231,129263.097431,23243972.7207581,179.819091316186
118293,41,9,1,231,100366.82702,17444655.8049926,173.80897974902
118297,41,9,1,231,103317.333397,21201368.96,205.206312076727
118298,41,9,1,231,82917.78556,16144577.8730645,194.705849463167
118312,41,9,1,231,119143.916865,27697967.5325668,232.474877957478
118314,41,9,1,231,119143.916865,43932426.676558,368.734114443603
118315,41,9,1,231,48699.380988,15661910.8027197,321.60389896083
118327,41,9,1,231,261487.57089,52079172.43175,199.165001435797
209250,41,9,1,231,85933.788552,18016390.62,209.654327169551
224251,41,9,1,231,22952.986792,9460059.2198,412.149377574564
224595,41,9,1,231,76149.430398,15908968.4432,208.917760251794
224605,41,9,1,231,78899.73081,17392202.5724,220.434244754047
224614,41,9,1,231,149319.461586,12715451.0756603,85.1560201235854
224617,41,9,1,231,42728.040663,12108649.5437,283.388832153621
224627,41,9,1,231,148855.039489,37889175.5044,254.537405212942
224630,41,9,1,231,53674.150832,19271332.35575,359.04307859605
226992,41,9,1,231,130568.198775,30062125.9418379,230.240795414832
226996,41,9,1,231,84833.073808,17837534.2765697,210.266273233725
227004,41,9,1,231,12292.460445,3306725.0,269.004322999064
302207,41,9,1,231,46626.343446,5298321.19,113.633641379925
302218,41,9,1,231,73359.367502,7515619.56,102.449350586278
302231,41,9,1,231,39029.665136,11553673.64,296.022873876598
339760,41,9,1,231,14319.696808,1710112.966,119.423825024327
339785,41,9,1,231,84482.643692,25915761.4,306.758409389763
339795,41,9,1,231,53066.379406,8024917.72,151.224142476407
339796,41,9,1,231,60531.321262,16289089.314,269.101829836083
371209,41,9,1,231,54797.255199,18585394.625,339.16652499301
374492,41,9,1,231,30685.024773,9629348.24304569,313.812627308635
374507,41,9,1,231,41992.156,5435380.69312238,129.438000114173
374577,41,9,1,231,8758.987743,1467000.0,167.485107074433
380110,41,9,1,231,38261.264423,7425115.15560745,194.063506984991
387661,41,9,1,231,68448.607825,15542266.0,227.064749654753
387664,41,9,1,231,127147.0458,16800048.0,132.130856004521
387665,41,9,1,231,255470.24358,51086337.0,199.969813642904
387666,41,9,1,231,97532.35649,20568957.0,210.893674060966
387667,41,9,1,231,250974.017089,70744045.0,281.877964183491
387668,41,9,1,231,135806.53443,26891310.0,198.011900626629
387669,41,9,1,231,93738.19797,17564903.0,187.38255460833
387670,41,9,1,231,246347.726398,17392605.0,70.6018490785682
387671,41,9,1,231,105555.45957,23977998.0,227.160187617759
